time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
2019-02-28,135.34,139.0,132.1,135.02,579327.32,78861797.56,force_direct,
2019-03-01,135.32,137.95,134.9,135.34,302632.03,41198722.58,force_direct,
2019-03-02,132.56,136.12,130.03,135.32,297005.28,39467507.69,force_direct,
2019-03-03,130.6,134.6,128.01,132.56,222453.29,29447917.24,force_direct,
2019-03-04,125.65,131.11,122.6,130.6,403947.79,51060349.77,force_direct,
2019-03-05,136.72,137.84,125.19,125.65,512631.23,67740644.33,force_direct,
2019-03-06,137.4,140.29,133.33,136.72,428826.87,58701328.65,force_direct,
2019-03-07,136.81,140.2,135.2,137.4,307336.49,42271691.24,force_direct,
2019-03-08,133.52,139.34,130.62,136.81,330283.58,44879637.39,force_direct,
2019-03-09,137.27,138.65,132.93,133.52,279861.12,38220614.01,force_direct,
2019-03-10,135.37,137.5,134.0,137.27,203965.17,27650702.38,force_direct,
2019-03-11,132.67,136.15,131.0,135.37,264587.01,35285847.75,force_direct,
2019-03-12,133.57,135.3,130.77,132.67,194905.97,25981446.1,force_direct,
2019-03-13,131.65,133.65,130.58,133.57,209456.1,27670734.43,force_direct,
2019-03-14,132.2,135.11,128.52,131.65,258413.82,34099414.81,force_direct,
2019-03-15,136.56,137.62,132.18,132.2,295832.27,39928522.34,force_direct,
2019-03-16,140.92,144.47,136.51,136.56,474664.1,66878173.45,force_direct,
2019-03-17,138.67,141.07,137.2,140.92,252697.08,35051209.93,force_direct,
2019-03-18,137.59,142.01,136.1,138.67,281718.96,39017864.92,force_direct,
2019-03-19,138.55,139.38,136.97,137.59,218577.45,30175322.08,force_direct,
2019-03-20,139.01,139.66,136.01,138.55,222883.52,30757997.81,force_direct,
2019-03-21,134.85,139.55,131.21,139.01,312531.39,42635937.49,force_direct,
2019-03-22,135.98,137.2,134.29,134.85,186119.75,25309122.73,force_direct,
2019-03-23,137.28,138.21,135.6,135.98,174710.43,23922572.36,force_direct,
2019-03-24,136.09,137.37,134.75,137.28,198490.45,27042322.7,force_direct,
2019-03-25,133.98,136.83,131.6,136.09,230880.29,31082445.59,force_direct,
2019-03-26,134.18,134.74,132.27,133.98,183139.11,24490323.06,force_direct,
2019-03-27,139.45,140.14,133.84,134.18,317167.45,43635238.43,force_direct,
2019-03-28,137.86,139.57,137.3,139.45,163185.7,22543474.61,force_direct,
2019-03-29,143.25,143.6,137.62,137.86,235853.05,33098245.96,force_direct,
2019-03-30,142.46,145.89,140.06,143.25,254798.7,36382647.23,force_direct,
2019-03-31,141.38,142.5,140.42,142.46,142469.21,20131931.7,force_direct,
2019-04-01,141.24,143.08,139.57,141.38,234310.19,33234998.64,force_direct,
2019-04-02,163.31,165.6,141.0,141.24,906868.86,138094679.3,force_direct,
2019-04-03,159.96,177.81,149.23,163.31,1345344.54,225523896.2,force_direct,
2019-04-04,157.36,164.0,152.8,159.96,686080.95,109082183.59,force_direct,
2019-04-05,164.77,167.83,155.94,157.36,516070.35,84123101.33,force_direct,
2019-04-06,165.5,172.77,159.2,164.77,528168.33,87657058.11,force_direct,
2019-04-07,174.21,175.43,164.06,165.5,465507.52,78876773.3,force_direct,
2019-04-08,178.72,185.87,170.9,174.21,873410.07,156417981.3,force_direct,
2019-04-09,174.6,179.17,171.05,178.72,431986.36,75745619.57,force_direct,
2019-04-10,177.12,183.77,168.0,174.6,523943.2,93283836.59,force_direct,
2019-04-11,164.07,177.48,158.27,177.12,661305.3,110201659.95,force_direct,
